Source,Target,WeightLand,Menschen,1610
Europa,Länder,107
Land,Präsident,107
deutsche,neue,107
Zukunft,neue,105
Land,Schicksalsgemeinschaft,105
Land,beiden,105
Krieg,Land,105
Deutschland,Schicksalsgemeinschaft,104
Deutschland,Präsident,104
deutsche,neuen,104
Euro,Zukunft,104
Zukunft,neuen,104
Wirtschaft,Zeit,103
Berlin,China,102
Höhe,deutschen,102
Bereich,Welt,102
Türkei,Wirtschaft,101
deutschen,europäischen,101
Deutschland,beiden,101
